pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
,simpleRTK2B Pro Arduino header options:: Without headers ZED-F9 SKU AS-RTK2B-PROF9P-L1L2-NH-00,0,$259.90,,,,N,,Ardusimple,https://www.ardusimple.com/product/simplertk2b-pro/,
,Radio module Long Range (LR) SKU AS-XBEE-LR-EU-SMA-01 ,2,$116.15,,,,N,,Ardusimple,https://www.ardusimple.com/product/radio-module-long-range/,
,simpleRTK2B Lite,3,228.85,,,,N,,Ardusimple,https://www.ardusimple.com/product/simplertk2blite/,
,"Budget Survey GNSS Multiband antenna (IP66),  AS-ANT2B-SUR-L1L2-25SMA-00 ",3,$102.35,,,,N,,Ardusimple,https://www.ardusimple.com/product/survey-gnss-multiband-antenna/,
,"Vehicle Mount LR/XLR Antenna,  AS-ANT-VEH ",2,$55.20,,,,N,,Ardusimple,https://www.ardusimple.com/product/lr-xlr-antenna-vehicle-mount/,
,"HT Set Screw, Fully Threaded Bolt, Zinc, UNC Thread, 5/8"" x 1”, + washers, for survey grade antennae",3,£3.00,,,,,,Ebay,,
,,,,,,,,,,,
,Bi-directional 4 way logic level shifter converter PCB module,3,,£1.35,,,,,Ebay,https://www.ebay.co.uk/itm/195572988505,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TL22-8M-20F - 8mm Pitch 22 Tooth Flanged HTD Type Steel Taper Bore Timing Pulley for 20mm Wide Belts,1,16.56,19.872,,,,,Simply Bearings,,
,P40-8M-20F - 8mm Pitch 40 Tooth Flanged HTD Type Steel Pilot Bore Timing Pulley for 20mm Wide Belts,1,24.84,29.808,,,,,Simply Bearings,,
,HTD624-20-78 Major Brand Synchronous Belt 20mm Wide 8mm Pitch 78 Teet,1,24,28.8,,,,,Simply Bearings,,
,1008-10 Tapered Locking Bush with 10mm Bore,1,4.26,5.112,,,,,Simply Bearings,,
,Metric Slotted Carbon Spring Steel Spring Roll Pinswith Black Oxide Finish 6x45mm,1,£1.25,,,,,,Simply Bearings,,
,UCF204-12 Imperial Four Bolt Square Cast Iron Flange Housing with 3/4 inch Bore Insert,1,£9.35,,,,,,Simply Bearings,,
,62052RS Budget Rubber Sealed Deep Groove Ball Bearing 25x52x15mm,2,£4.96,,,,,,Simply Bearings,,
,51105 Budget Single Thrust Ball Bearing 25x42x11mm,1,£6.19,,,,,,Simply Bearings,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,GR-EP-45ENC 45mm 12V 20W Planetary Gearmotor with Encoder Gearbox Ratio: 369:1 ,0,66.8,80.16,,,,,Gimson Robotics,https://gimsonrobotics.co.uk/products/gr-ep-45enc-45mm-12v-20w-planetary-gearmotor-with-encoder,
,GR-EP-45ENC 45mm 12V 20W Planetary Gearmotor with Encoder Gearbox Ratio: 188:1 ,1,66.8,80.16,,,,,Gimson Robotics,,
